EntityName,EntityTypeName,lat,lon
Mille B. Morberg                                            ,General Practitoner,56.4499187804562,9.40069850229073
Læge Anne Mette Lind                                        ,General Practitoner,56.4499187803803,9.40069852581333
Læge Niels-Jørgen Moeslund                                  ,General Practitoner,56.4474433008506,9.40103701751713
Service og Administrative Funktioner - Hospital             ,Hospital,56.4535367999626,9.40133390789781
Lægerne i Skals                                             ,General Practitoner,56.556699916321,9.40280935785439
Psykiatrien Region Midtjylland                              ,Hospital,56.4558000752782,9.40304601742747
Lægerne Stadion Alle 1                                      ,General Practitoner,56.456699607954,9.4030957713807
Hospitalsenhed Midt                                         ,Hospital,56.4448788719,9.40398776924351
Anne Skou                                                   ,General Practitoner,56.4502736299783,9.40409018331087
Lægehuset Viborg                                            ,General Practitoner,56.4502736299598,9.40409018898879
"Lægerne Fælledvej 9,1                                       ",General Practitoner,56.4531633846342,9.40471790709773
Læge Helle Kyrval                                           ,General Practitoner,56.4494124753108,9.40519893888509
Lægerne Odingården 1. sal                                   ,General Practitoner,56.4482447742493,9.40771835930559
Lægerne Preislers Plads 7                                   ,General Practitoner,56.4499198411913,9.40773968217826
Viborg Svane Apotek                                         ,Pharmacy,56.4484636634139,9.40791988457632
Landlægen                                                   ,General Practitoner,55.152594205596,9.40097384631695
Familielægerne Rugkobbel                                    ,General Practitoner,55.0333263521359,9.40480109567199
Lægehuset Hornum                                            ,General Practitoner,56.8379763926268,9.42826880700648
Kjellerup Apotek                                            ,Pharmacy,56.2886764157475,9.43116380132729
Læge Ida Gjessing                                           ,General Practitoner,55.0471526180048,9.41820082356373
Almen Praktiserende læge Anne Yang                          ,General Practitoner,55.045413293826,9.42010615430271
Læge Kim Agerholm Brogaard                                  ,General Practitoner,55.0433370547026,9.42018786982749
Alment praktiserende læge Ulla Skov Andersen                ,General Practitoner,55.0433370545676,9.42018790895033
Læge Hanne Bech Michelsen                                   ,General Practitoner,55.0433370545622,9.42018791051525
Læge Jan-Ole Arnhold                                        ,General Practitoner,55.0433370545217,9.4201879222521
Læge Lene Agerstjerne                                       ,General Practitoner,55.0433370545027,9.4201879277293
Lene Agerstjerne                                            ,General Practitoner,55.0433370544649,9.42018793868369
Lægeklinik Monja M√∂nnich                                    ,General Practitoner,55.0433370544595,9.4201879402486
Aabenraa Løve Apotek                                        ,Pharmacy,55.0438392733583,9.42050987768165
Almen Lægeklinik Aabenraa                                   ,General Practitoner,55.0466517116573,9.4210174983756
Lægerne Sand og le-Fevre                                    ,General Practitoner,55.0464828562837,9.42161483148439
"Lægerne Sanne Eduard, Morten Kollander & Søren Gellert      ",General Practitoner,55.0435104951142,9.42247226389397
Aabenraa Svane Apotek                                       ,Pharmacy,55.0435104949594,9.42247230849418
"Lægerne Bjørnholdt, Gellert & Feldthaus                     ",General Practitoner,55.0435104945983,9.42247241256136
Lægehuset Havnegaarden                                      ,General Practitoner,55.0432481316052,9.42251236556716
Lægehuset Hasselvej                                         ,General Practitoner,56.2839410795857,9.44123632003346
Jelling Lægehus                                             ,General Practitoner,55.7567610046112,9.4389180307378
Læge Stine Just Klitgaard                                   ,General Practitoner,56.4498664820874,9.45607727523643
Privathospitalet Kollund                                    ,Hospital,54.8403545399147,9.45473097947378
